Longitude,Latitude,hour,month,weekday,park
-122.33855035,47.608060165,4,7,3,98
-122.366172786,47.671254624,4,7,3,70
-122.407524043,47.580269691,1,7,3,25
-122.411339466,47.577751,0,7,3,21
-122.331124149,47.601717571,0,7,3,102
-122.335866562,47.600883019,0,7,3,95
-122.340432484,47.61971258,1,7,3,108
-122.332345091,47.620815378,2,7,3,113
-122.401802383,47.689241734,2,7,3,35
-122.273984794,47.534704635,2,7,3,37
-122.340367253,47.610046277,3,7,3,101
-122.331082201,47.602412413,0,7,3,103
-122.322862022,47.618730295,0,7,3,118
-122.286488582,47.560108201,2,7,3,64
-122.318793866,47.614089799,3,7,3,122
-122.352139788,47.624571354,5,7,3,88
-122.345950536,47.632725398,7,7,3,102
-122.386512387,47.582095306,5,7,3,44
-122.373915948,47.630881248,6,7,3,67
-122.312127088,47.612910084,8,7,3,128
-122.325060336,47.597932435,4,7,3,104
-122.325509958,47.61353453,7,7,3,113
-122.282745,47.659847,13,1,6,50
-122.320693637,47.666309734,13,7,1,85
-122.312711864,47.731212885,8,7,3,30
-122.283721134,47.522461833,8,7,3,33
-122.323016077,47.611212499,8,7,3,117
-122.339691531,47.572703629,9,7,3,59
-122.340993768,47.630991742,9,7,3,112
-122.352825475,47.62034258,9,7,3,82
-122.343702997,47.612886564,10,7,3,91
-122.323244292,47.61062373,10,7,3,115
-122.342879608,47.609812733,10,7,3,91
-122.316020529,47.564407494,10,7,3,72
-122.314046489,47.582983641,10,7,3,102
-122.32271,47.62512,9,1,3,121
-122.383577869,47.574384435,11,7,3,45
-122.350111739,47.614916926,11,7,3,88
-122.360924466,47.640506449,10,7,3,73
-122.302464783,47.667596872,9,7,3,80
-122.345664273,47.615805569,9,7,3,90
-122.323016077,47.611212499,9,7,3,117
-122.33815,47.610973,13,1,6,101
-122.355509579,47.568924738,11,7,3,38
-122.314644628,47.623684284,11,7,3,124
-122.334918449,47.611639429,8,7,3,103
-122.323508355,47.607554092,9,7,3,117
-122.323016077,47.611212499,9,7,3,117
-122.335119807,47.610181663,11,7,3,102
-122.344363969,47.615036752,12,7,3,93
-122.300962058,47.582938807,8,7,3,103
